ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
1562,Central Loop,Art Institute of Chicago,111 S Michigan Av,Art Institute/Noble Fool,777,"Located in the Loop, the project includes rehabilitation of the first three floors of the Butler Building as a performance theater.",12/31/01,1000000,1000000,1177359.575,1899852.102,41.88052782,-87.62420947,"(41.880527821930805, -87.62420946585881)",29,38,14311,367,36,22
12246,River South,IGA-CBE-New South Loop Elementary School Phase II,1601 S Dearborn St,Chicago Public Schools,,"Located in the Near South Side Community Area, the project involves the final design and construction of the new South Loop Elementary School.",3/29/17,48333000,59000000,1176215.239,1892394.176,41.86008868,-87.62863612,"(41.86008867484919, -87.62863612245982)",40,34,21194,330,9,12
11037,24th/Michigan,IGA - CBE - National Teachers Academy Field,2300 S Dearborn St,Chicago Public Schools,,National Teachers Academy and Community Field - IGA pending,7/1/14,4600000,4600000,1176314.713,1889071.168,41.85096787,-87.62837113,"(41.85096786933982, -87.6283711302595)",40,34,21194,193,9,12
1492,Lawrence/Kedzie,IGA - CPD - Park 0042 - Kiwanis,3315 W Carmen Av,Chicago Park District,607,An intergovernmental agreement between the City of Chicago and the Chicago Park District,1/13/11,475000,475000,1153208.343,1933650.398,41.97378646,-87.71199128,"(41.973786461302645, -87.71199127664416)",20,13,21849,167,38,28
1252,Greater Southwest Industrial (East),Stylemaster - Gateway Park,7600 S Albany Av,"Gateway Park, LLC",37,"Located in the Ashburn community, the project includes cleanup and remediation of a 62 acre site.  The project also includes construction of a 660,000 square foot industrial space for StyleMaster and other tenants.",2/25/99,14000000,28235000,1156890.238,1854017.308,41.75519082,-87.70061016,"(41.75519081793185, -87.70061016424349)",8,69,4300,498,30,6
1442,Western Avenue South,N. Center Sr. - Belle Plaine Condo,2335 W Belle Plaine Av,North Center Associates LLC,362,"Located in the North Center community, the project includes the construction of a 141,000 square foot five-story senior condominium building.  The project provides a minimum of 50 affordable housing units for senior households earning no more than 80% area median income and the remaining 47 units will be priced below market rate.  The senior condominium building includes a community room, exercise room, library, and 112 parking spaces.",5/9/06,3380000,27465722,1159911.602,1927126.642,41.95574889,-87.68752243,"(41.95574888626088, -87.68752243256986)",39,46,21538,623,18,13
10984,47th/King Drive,Paul G. Stewart III,401 E Bowen Av,Bonheur Development,,"This project (Phase III) is the substantial rehab of all 180 apartments in an existing 20-story tower for seniors whose incomes are at or below 60% of AMI.  All 180 units are covered by an existing project-based Section 8 contract.  The 180 unit tower is comprised of 45-studio apartments and 135 one-bedroom units. Scope of the rehab includes new mechanical systems, new windows, and new kitchens and baths.  The rehab will incorporate green initiatives such as greater insulation and highly efficient energy systems.  The building's exterior will undergo extensive exterior masonry repairs as mandated by the City's critical facade inspection.",7/12/16,4299179,32873746,1179658.647,1877532.342,41.81922851,-87.61645178,"(41.81922851271394, -87.61645177529466)",36,4,4301,625,9,12
11079,Midwest,"IGA - CBE - Faraday, Jensen, and Ericson",3250 W Monroe St,Chicago Public Schools,,"Ward 28 Modern Schools Surplus Reallocation: Faraday, Jensen, & Ericson - IGA pending",3/10/14,2300000,2300000,1154521.277,1899387.886,41.87974117,-87.70808199,"(41.879741173507504, -87.70808198850602)",30,28,21572,765,23,11
1341,Western Avenue North,Ravenswood Sq - 4800 Damen,4800 N Damen Av,"4800 Damen, LLC",166,"Located in Lincoln Square community, the project includes the demolition of four existing buildings to construct a 104,000 square foot, 4-story residential building.  The building will include 42 condominiums, including 9 affordable units, 12,000 square feet of ground floor commercial space, 36,000 square feet of below-grade parking (75 residential parking spaces and 24 commercial spaces), roof deck, and 50% green roof. Mix of two and three bedroom units, with 4 of the two bedrooms, and 5 three bedrooms making up the 9 affordable units.",4/27/04,3000000,18385283,1162102.257,1931915.873,41.96884518,-87.67933473,"(41.96884518171126, -87.67933472473636)",20,6,21849,106,18,13
1032,Western Avenue North,Ravenswood Station Retail,1820 W Lawrence Av,Magellan Development Group,949,"The Ravenswood Retail Station project is located in the Western Avenue North TIF district. The redevelopment project consists of a newly constructed 127,000 square foot retail shopping center containing a Mariano¿s Fresh Market, L.A. Fitness and Sears Tire and Auto Store. The shopping center will also include 357 parking spaces.",7/10/12,4500000,42041660,1163161.142,1931949.565,41.96891539,-87.67544029,"(41.96891538611746, -87.6754402877927)",15,6,22616,106,18,13
1505,47th/King Drive,IGA - CBE - ADA - Mollison,4415 S Dr Martin Luther King Jr Dr,Chicago Public Schools,622,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education.,4/9/08,750000,750000,1179638.34,1875750.718,41.81434006,-87.61658079,"(41.81434005796382, -87.61658078544413)",36,4,4301,161,9,12
1230,Ohio/Wabash,Medinah Temple,600 N Wabash Av,"Medinah Temple, Inc. et al",1,"The project includes the rehabilitation of the Medinah Temple Building, Tree Studios Building, Unit Building, and the interior courtyard.  The project constructed a 120,000 square foot home goods store in the Medinah Temple Building and commercial rental property in Unit Building and Tree Studios Building.",9/12/00,12700000,59118000,1176591.971,1904220.077,41.89253115,-87.62689596,"(41.892531148204995, -87.62689596447262)",6,37,21182,626,36,22
1777,Portage Park,IGA - CPD - Park 0147 - Portage - I - Playground,4100 N Long Av,Chicago Park District,2133,"Improvements for the Project include the following: pathway, lighting,
playground, and other field house and site improvements.",6/9/09,1000000,1000000,1139577.656,1926748.676,41.95510787,-87.76228458,"(41.9551078676731, -87.76228458139845)",21,15,22618,260,19,25
