PIN,Community Area Name
1856,ENGLEWOOD
1794,
1292,WEST ENGLEWOOD
1280,NEW CITY
1269,NORTH LAWNDALE
971,EAST GARFIELD PARK
781,GRAND BOULEVARD
583,AUSTIN
571,WEST PULLMAN
553,HUMBOLDT PARK
545,WASHINGTON PARK
541,SOUTH CHICAGO
527,NEAR WEST SIDE
514,WEST GARFIELD PARK
506,WOODLAWN
465,ROSELAND
418,GREATER GRAND CROSSING
310,AUBURN GRESHAM
293,FULLER PARK
223,DOUGLAS
218,SOUTH SHORE
189,SOUTH DEERING
172,MORGAN PARK
145,RIVERDALE
130,OAKLAND
111,WEST TOWN
109,SOUTH LAWNDALE
103,CHICAGO LAWN
103,CHATHAM
95,KENWOOD
87,NEAR NORTH SIDE
83,WASHINGTON HEIGHTS
77,LOWER WEST SIDE
59,EAST SIDE
58,LOGAN SQUARE
54,ALBANY PARK
53,NEAR SOUTH SIDE
52,BRIDGEPORT
46,LOOP
46,AVALON PARK
44,BURNSIDE
41,PULLMAN
37,HEGEWISCH
30,BEVERLY
28,EDGEWATER
28,LINCOLN SQUARE
28,GARFIELD RIDGE
28,MCKINLEY PARK
26,ROGERS PARK
26,CALUMET HEIGHTS
25,ARMOUR SQUARE
22,GAGE PARK
19,UPTOWN
19,LAKE VIEW
17,AVONDALE
16,PORTAGE PARK
16,ASHBURN
16,BELMONT CRAGIN
14,CLEARING
13,WEST LAWN
13,LINCOLN PARK
12,BRIGHTON PARK
11,NORTH CENTER
10,WEST RIDGE
8,IRVING PARK
6,HERMOSA
5,DUNNING
5,ARCHER HEIGHTS
5,FOREST GLEN
5,JEFFERSON PARK
4,HYDE PARK
3,MOUNT GREENWOOD
3,NORTH PARK
2,WEST ELSDON
1,NORWOOD PARK
1,MONTCLARE
